# Accelerometer Data File
# Started @Wed Oct 14 10:13:25 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.172 9.682 2.906 2
0.158 9.682 2.921 2
0.081 9.675 2.921 2
0.11 9.687 2.911 2
0.11 9.687 2.911 2
0.15 9.706 2.899 2
0.172 9.711 2.892 2
0.189 9.706 2.885 2
0.179 9.692 2.868 2
0.172 9.696 2.853 2
0.177 9.687 2.834 2
0.179 9.675 2.839 2
0.208 9.644 2.844 2
0.208 9.644 2.844 2
0.208 9.644 2.844 2
0.239 9.624 2.865 2
0.26 9.624 2.88 2
0.287 9.629 2.906 2
0.294 9.615 2.923 2
0.337 9.598 2.942 2
0.371 9.613 2.964 2
0.375 9.608 2.978 2
0.366 9.584 3.043 2
0.366 9.584 3.043 2
0.368 9.577 3.062 2
0.366 9.565 3.093 2
0.354 9.567 3.114 2
0.33 9.565 3.141 2
0.33 9.565 3.155 2
0.332 9.56 3.155 2
0.323 9.572 3.131 2
0.332 9.577 3.119 2
0.366 9.591 3.158 2
0.383 9.603 3.17 2
0.383 9.603 3.17 1
0.409 9.605 3.217 2
0.421 9.61 3.229 2
0.426 9.627 3.277 2
0.423 9.617 3.301 2
0.395 9.581 3.378 2
0.371 9.548 3.469 2
0.371 9.493 3.529 2
0.289 9.352 3.656 2
0.289 9.34 3.68 2
0.289 9.34 3.68 2
0.289 9.332 3.711 2
0.323 9.337 3.732 2
0.347 9.352 3.663 2
0.351 9.352 3.62 2
0.313 9.356 3.517 3
0.268 9.361 3.469 2
0.155 9.328 3.435 2
-0.011 9.361 3.419 2
-0.019 9.361 3.419 2
-0.019 9.361 3.404 2
-0.023 9.359 3.375 2
-0.067 9.356 3.335 2
-0.069 9.392 3.277 2
-0.05 9.402 3.239 2
0.047 9.45 3.098 2
0.088 9.481 3.023 2
0.162 9.543 2.913 2
0.296 9.687 2.751 2
0.296 9.687 2.751 2
0.311 9.706 2.743 2
0.323 9.718 2.731 2
0.313 9.737 2.705 2
0.289 9.725 2.691 2
0.299 9.711 2.669 2
0.27 9.658 2.609 2
0.246 9.617 2.583 2
0.222 9.577 2.516 2
0.217 9.5 2.303 2
0.217 9.5 2.303 2
0.22 9.502 2.262 2
0.239 9.514 2.212 2
0.253 9.543 2.126 2
0.229 9.562 2.09 2
0.227 9.572 2.078 2
0.165 9.596 2.054 2
0.143 9.601 2.037 2
0.15 9.639 2.006 2
0.122 9.694 1.948 2
0.122 9.694 1.948 2
0.126 9.715 1.934 2
0.146 9.735 1.908 2
0.174 9.754 1.855 2
0.158 9.771 1.829 2
0.155 9.771 1.819 2
0.126 9.794 1.822 2
0.102 9.797 1.836 2
0.112 9.826 1.81 2
0.203 9.909 1.781 2
0.203 9.909 1.781 2
0.225 9.921 1.781 2
0.244 9.938 1.778 2
0.27 9.962 1.824 2
0.253 9.964 1.865 2
0.246 9.964 1.891 2
0.196 9.96 1.965 2
0.174 9.953 1.987 2
0.134 9.938 2.006 2
-0.04 9.881 2.083 2
-0.04 9.881 2.083 1
-0.04 9.881 2.083 3
-0.079 9.842 2.063 1
-0.141 9.814 2.066 2
-0.172 9.783 2.054 2
-0.193 9.768 2.059 2
-0.201 9.754 2.071 2
-0.232 9.735 2.09 2
-0.296 9.718 2.15 2
-0.397 9.668 2.269 2
-0.397 9.668 2.269 2
-0.397 9.668 2.269 3
-0.452 9.656 2.32 2
-0.478 9.632 2.377 2
-0.512 9.603 2.458 2
-0.505 9.596 2.497 2
-0.478 9.593 2.53 2
-0.421 9.593 2.59 2
-0.359 9.574 2.636 2
-0.198 9.553 2.698 2
-0.198 9.553 2.698 2
-0.198 9.553 2.698 2
-0.155 9.562 2.719 2
-0.112 9.596 2.743 2
-0.11 9.622 2.767 2
-0.107 9.639 2.777 2
-0.11 9.658 2.777 2
-0.138 9.701 2.786 2
-0.134 9.715 2.782 2
-0.086 9.838 2.688 2
-0.086 9.838 2.688 2
-0.086 9.838 2.688 2
-0.057 9.917 2.643 2
-0.045 9.941 2.621 2
-0.007 10.039 2.571 2
-0.002 10.06 2.576 2
-0.004 10.07 2.583 2
-0.028 10.072 2.592 2
-0.047 10.06 2.595 2
-0.174 10.067 2.628 2
-0.222 10.077 2.648 2
-0.222 10.077 2.648 2
-0.301 10.075 2.662 2
-0.316 10.07 2.652 2
-0.347 10.024 2.592 2
-0.361 9.996 2.571 2
-0.385 9.967 2.528 2
-0.462 9.89 2.451 2
-0.483 9.859 2.432 2
-0.624 9.742 2.406 2
-0.627 9.689 2.375 2
-0.627 9.689 2.375 2
-0.634 9.61 2.317 2
-0.639 9.577 2.291 2
-0.641 9.514 2.276 2
-0.665 9.488 2.231 2
-0.701 9.493 2.212 2
-0.814 9.488 2.166 2
-0.864 9.474 2.142 2
-0.72 9.447 1.826 2
-0.72 9.447 1.826 2
-0.72 9.447 1.826 2
-0.344 9.404 1.484 2
-0.093 9.392 1.268 2
0.416 9.462 0.888 2
0.598 9.526 0.77 2
0.773 9.617 0.636 2
0.627 9.62 0.766 2
0.481 9.601 0.861 2
0.028 9.534 1.197 2
0.028 9.534 1.197 2
-0.038 9.524 1.235 2
-0.15 9.495 1.245 2
-0.222 9.498 1.206 2
-0.335 9.507 1.031 2
-0.38 9.495 0.914 2
-0.373 9.433 0.689 2
-0.368 9.352 0.495 2
-0.387 9.33 0.414 2
-0.533 9.313 0.347 2
-0.533 9.313 0.347 2
-0.553 9.32 0.359 2
-0.548 9.32 0.414 2
-0.555 9.33 0.435 2
-0.541 9.352 0.469 2
-0.538 9.359 0.49 2
-0.529 9.39 0.538 2
-0.536 9.402 0.639 2
-0.531 9.483 0.799 2
-0.531 9.605 1.142 2
-0.545 9.644 1.156 2
-0.545 9.644 1.156 2
-0.569 9.675 1.154 2
-0.562 9.725 1.13 2
-0.541 9.761 1.091 2
-0.524 9.794 1.072 2
-0.49 9.842 1.079 2
-0.49 9.859 1.087 2
-0.502 9.926 1.113 2
-0.577 10.008 1.235 2
-0.577 10.008 1.235 2
-0.591 10.02 1.245 2
-0.622 10.015 1.252 2
-0.663 9.955 1.273 2
-0.644 9.917 1.3 2
-0.6 9.909 1.319 2
-0.454 9.941 1.398 2
-0.373 9.962 1.455 2
-0.191 10.024 1.563 2
0.014 10.118 1.958 2
0.021 10.118 2.059 2
0.021 10.125 2.059 2
0.031 10.151 2.142 2
0.064 10.228 2.363 2
0.083 10.304 2.583 2
0.083 10.345 2.655 1
0.059 10.436 2.755 2
0.043 10.477 2.767 2
0.016 10.606 2.76 2
0.035 10.908 2.655 2
0.035 10.908 2.655 2
0.031 10.992 2.604 2
0.026 11.051 2.545 2
-0.014 11.126 2.384 2
-0.074 11.114 2.221 2
-0.088 11.087 2.109 2
-0.079 11.02 1.855 2
-0.059 10.977 1.692 2
-0.026 10.867 1.458 2
-0.263 10.671 1.039 2
-0.263 10.671 1.039 2
-0.361 10.585 0.967 2
-0.43 10.479 0.931 2
-0.507 10.261 0.727 2
-0.615 10.063 0.375 2
-0.675 9.943 0.227 2
-0.804 9.727 0.045 2
-0.885 9.641 0.014 2
-1.048 9.402 -0.076 2
-1.189 8.964 -0.239 2
-1.189 8.964 -0.239 2
-1.182 8.861 -0.282 3
-1.154 8.763 -0.304 2
-1.06 8.595 -0.38 2
-1.058 8.447 -0.466 2
-1.055 8.391 -0.498 2
-0.998 8.312 -0.593 2
-0.979 8.296 -0.641 2
-0.964 8.3 -0.689 2
-0.964 8.449 -0.747 2
-0.964 8.449 -0.747 2
-0.964 8.449 -0.747 2
-0.964 8.542 -0.775 2
-0.869 8.7 -0.849 2
-0.754 8.854 -0.881 2
-0.679 8.93 -0.881 2
-0.598 9.014 -0.888 2
-0.426 9.196 -0.928 2
-0.282 9.356 -0.938 2
0.095 9.692 -0.883 2
0.095 9.692 -0.883 2
0.177 9.692 -0.883 2
0.251 9.876 -0.84 2
0.368 10.048 -0.723 2
0.421 10.233 -0.543 2
0.404 10.309 -0.383 2
0.363 10.362 -0.122 2
0.016 10.465 0.414 2
-0.304 10.618 0.581 2
0.177 10.676 -0.021 2
0.177 10.676 -0.021 2
0.177 10.676 -0.021 2
0.466 10.534 -0.325 2
0.735 10.427 -0.548 2
0.986 10.381 -0.656 2
1.087 10.4 -0.679 2
1.156 10.443 -0.689 2
1.197 10.546 -0.679 2
1.07 10.599 -0.533 2
0.735 10.759 0.1 2
0.735 10.759 0.1 2
0.735 10.759 0.1 2
0.615 10.769 0.344 2
0.574 10.779 0.397 2
0.569 10.733 0.378 2
0.6 10.721 0.383 2
0.641 10.704 0.423 2
0.696 10.625 0.495 2
0.706 10.58 0.517 2
0.593 10.431 0.778 2
0.593 10.403 0.778 2
0.593 10.403 0.778 2
