# Accelerometer Data File
# Started @Wed Oct 14 10:14:43 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSO Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.047 6.847 -0.122 2
-0.05 6.823 -0.122 2
-0.064 6.794 -0.129 2
-0.064 6.78 -0.138 2
-0.076 6.778 -0.141 2
-0.102 6.78 -0.146 2
-0.112 6.782 -0.165 2
-0.107 6.818 -0.208 2
-0.1 6.9 -0.351 2
-0.1 6.9 -0.351 2
-0.093 6.933 -0.387 2
-0.086 6.969 -0.426 2
-0.071 7.036 -0.502 2
-0.067 7.108 -0.569 2
-0.067 7.134 -0.603 2
-0.038 7.168 -0.634 2
-0.033 7.192 -0.651 2
-0.028 7.254 -0.684 2
-0.014 7.316 -0.687 2
0.0 7.333 -0.67 2
0.019 7.343 -0.651 2
0.014 7.367 -0.627 2
0.038 7.427 -0.55 2
0.095 7.45 -0.519 2
0.124 7.513 -0.411 2
0.172 7.58 -0.318 2
0.196 7.599 -0.27 2
0.229 7.64 -0.172 2
0.258 7.699 -0.047 2
0.263 7.707 -0.026 2
0.268 7.704 -0.011 2
0.287 7.716 -0.007 2
0.318 7.743 -0.002 2
0.342 7.745 -0.002 2
0.375 7.764 0.019 2
0.375 7.781 0.038 2
0.373 7.798 0.045 2
0.383 7.836 0.059 2
0.373 7.865 0.107 2
0.373 7.867 0.107 2
0.368 7.869 0.107 2
0.383 7.867 0.093 2
0.409 7.867 0.055 2
0.409 7.858 0.035 2
0.402 7.846 -0.004 2
0.404 7.822 -0.045 2
0.395 7.819 -0.059 2
0.397 7.798 -0.112 2
0.378 7.788 -0.179 2
0.378 7.788 -0.179 2
0.366 7.79 -0.222 2
0.354 7.805 -0.244 2
0.33 7.802 -0.308 2
0.313 7.812 -0.342 2
0.284 7.831 -0.392 2
0.251 7.834 -0.426 2
0.227 7.846 -0.44 2
0.184 7.846 -0.469 2
0.131 7.877 -0.483 2
0.131 7.877 -0.483 2
0.129 7.891 -0.462 2
0.143 7.915 -0.454 2
0.165 7.965 -0.423 2
0.177 7.984 -0.411 2
0.239 8.001 -0.368 2
0.284 8.028 -0.335 2
0.361 8.087 -0.268 2
0.399 8.121 -0.169 2
0.445 8.166 0.016 2
0.428 8.166 0.064 2
0.428 8.166 0.064 2
0.414 8.171 0.117 2
0.38 8.195 0.153 2
0.373 8.214 0.162 2
0.373 8.248 0.165 2
0.361 8.262 0.146 2
0.323 8.281 0.107 2
0.301 8.324 0.057 2
0.304 8.401 -0.002 2
0.304 8.401 -0.002 2
0.304 8.42 -0.038 2
0.294 8.466 -0.093 2
0.284 8.521 -0.155 2
0.28 8.545 -0.181 2
0.287 8.585 -0.28 2
0.289 8.6 -0.332 2
0.287 8.662 -0.452 2
0.296 8.741 -0.572 2
0.316 8.851 -0.773 2
0.316 8.851 -0.773 2
0.332 8.892 -0.845 2
0.368 8.961 -0.996 2
0.38 9.024 -1.139 2
0.371 9.047 -1.192 2
0.344 9.091 -1.283 2
0.323 9.122 -1.324 2
0.284 9.17 -1.376 2
0.249 9.184 -1.369 2
0.196 9.304 -1.35 2
0.196 9.304 -1.35 2
0.191 9.342 -1.321 2
0.153 9.404 -1.23 2
0.162 9.433 -1.18 2
0.169 9.541 -1.084 2
0.213 9.672 -0.962 2
0.225 9.744 -0.878 2
0.265 9.883 -0.677 2
0.282 9.972 -0.565 2
0.44 10.278 -0.057 2
0.44 10.278 -0.057 2
0.488 10.371 0.05 2
0.553 10.549 0.256 2
0.593 10.632 0.359 2
0.67 10.788 0.565 2
0.701 10.949 0.758 2
0.715 11.02 0.864 2
0.747 11.164 1.063 2
0.763 11.217 1.137 2
0.814 11.384 1.386 2
0.814 11.384 1.386 2
0.835 11.415 1.436 2
0.864 11.461 1.517 2
0.861 11.48 1.544 2
0.876 11.511 1.558 2
0.89 11.504 1.556 2
0.866 11.499 1.541 2
0.823 11.466 1.503 2
0.811 11.444 1.479 2
0.703 11.348 1.321 2
0.703 11.348 1.321 2
0.67 11.32 1.278 2
0.596 11.25 1.175 2
0.553 11.212 1.118 2
0.462 11.138 1.012 2
0.373 11.061 0.885 2
0.328 11.016 0.83 2
0.256 10.91 0.706 2
0.222 10.86 0.636 2
0.067 10.664 0.371 2
0.067 10.664 0.371 2
0.021 10.609 0.311 2
-0.055 10.508 0.234 2
-0.076 10.455 0.201 2
-0.148 10.381 0.146 2
-0.181 10.336 0.136 2
-0.249 10.261 0.098 2
-0.339 10.194 0.062 2
-0.383 10.154 0.043 2
-0.49 10.02 -0.019 2
